Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1968]=56868.37887
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1969]=58467.8108
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1970]=61529.77979
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1971]=61716.79563
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1972]=63465.10424
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1973]=66317.71189
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1974]=65371.62667
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1975]=64182.76882
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1976]=67153.40876
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1977]=67777.19082
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1978]=68023.04188
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1979]=69119.86371
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1980]=68783.84557
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1981]=66688.82722
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1982]=65532.30175
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1983]=64552.41617
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1984]=65309.89915
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1985]=65474.08715
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1986]=65479.27148
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1987]=66721.094
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1988]=67287.4839
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1989]=67312.93275
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1990]=67094.07179
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1991]=66472.31502
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1992]=64223.92565
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1993]=63195.55052
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1994]=61820.50124
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1995]=60635.50707
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1996]=59650.01603
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1997]=59868.27682
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1998]=58604.36759
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[1999]=55523.54474
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2000]=55661.00151
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2001]=56049.16643
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2002]=55687.52236
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2003]=57641.7237
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2004]=60340.85189
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2005]=62587.82672
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2006]=63046.34515
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2007]=62641.3592
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2008]=61275.77058
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2009]=58721.16171
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2010]=58249.45527
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2011]=58834.52202
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2012]=57925.01408
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2013]=57413.51787
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2014]=57093.26142
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2015]=50464.18814
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2016]=48391.95431
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2017]=46319.72047
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2018]=44247.48664
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2019]=42175.2528
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2020]=40103.01896
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2021]=40045.54775
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2022]=39988.07653
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2023]=39930.60532
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2024]=39873.13411
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2025]=39815.66289
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2026]=39758.19168
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2027]=39700.72046
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2028]=39643.24925
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2029]=39585.77803
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2030]=39528.30682
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2031]=38905.72161
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2032]=38283.13641
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2033]=37660.5512
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2034]=37037.96599
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2035]=36415.38078
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2036]=35792.79558
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2037]=35170.21037
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2038]=34547.62516
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2039]=33925.03996
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2040]=33302.45475
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2041]=32641.31363
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2042]=31980.17252
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2043]=31319.0314
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2044]=30657.89028
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2045]=29996.74917
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2046]=29335.60805
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2047]=28674.46693
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2048]=28013.32582
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2049]=27352.1847
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2050]=26691.04358
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2051]=26325.61534
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting SO2_emissions[2052]=25960.18709
