Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1950]=4.331260791
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1951]=4.212336067
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1952]=4.278249967
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1953]=4.400134891
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1954]=4.475107773
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1955]=4.585745112
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1956]=4.844401489
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1957]=5.084522572
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1958]=5.060488043
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1959]=5.186762349
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1960]=5.288213084
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1961]=5.280187775
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1962]=5.268371109
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1963]=5.437875743
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1964]=5.259909465
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1965]=5.270010253
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1966]=5.285174796
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1967]=5.390458849
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1968]=5.370373092
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1969]=5.404091613
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1970]=5.549708797
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1971]=5.703748992
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1972]=5.971153375
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1973]=5.895831576
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1974]=5.971643938
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1975]=5.998431374
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1976]=6.237496532
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1977]=6.353178768
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1978]=6.579044818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1979]=6.677231649
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1980]=6.618387125
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1981]=6.57778223
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1982]=6.915258578
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1983]=6.625402214
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1984]=6.815018955
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1985]=6.922761989
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1986]=7.013703662
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1987]=7.200139154
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1988]=7.39663506
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1989]=7.320233668
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1990]=7.508271532
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1991]=8.011536269
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1992]=7.364888993
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1993]=7.531122847
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1994]=7.895732734
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1995]=7.813189501
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1996]=7.686339551
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1997]=8.269788743
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1998]=8.412226876
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1999]=7.698162125
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2000]=7.457347232
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2001]=7.591758769
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2002]=8.046474187
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2003]=8.241697598
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2004]=8.542465507
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2005]=8.840128386
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2006]=8.92564815
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2007]=9.284494092
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2008]=9.091850914
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2009]=9.109514002
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2010]=9.665129376
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2011]=9.478876566
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2012]=9.705285171
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2013]=9.560553735
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2014]=9.744379658
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2015]=9.727423577
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2016]=9.546242688
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2017]=9.3650618
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2018]=9.183880911
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2019]=9.002700023
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2020]=8.821519134
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2021]=8.741611203
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2022]=8.661703272
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2023]=8.581795341
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2024]=8.50188741
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2025]=8.421979478
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2026]=8.342071547
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2027]=8.262163616
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2028]=8.182255685
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2029]=8.102347754
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2030]=8.022439822
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2031]=7.947593946
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2032]=7.87274807
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2033]=7.797902193
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2034]=7.723056317
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2035]=7.64821044
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2036]=7.573364564
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2037]=7.498518688
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2038]=7.423672811
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2039]=7.348826935
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2040]=7.273981058
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2041]=7.179840922
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2042]=7.085700785
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2043]=6.991560648
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2044]=6.897420511
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2045]=6.803280374
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2046]=6.709140238
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2047]=6.615000101
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2048]=6.520859964
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2049]=6.426719827
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2050]=6.332579691
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2051]=6.252962759
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2052]=6.173345828
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2053]=6.093728897
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2054]=6.014111965
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2055]=5.934495034
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2056]=5.854878103
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2057]=5.775261171
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2058]=5.69564424
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2059]=5.616027309
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[2060]=5.536410377
