Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1859]=0.082176
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1860]=0.090174818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1861]=0.094836818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1862]=0.096561
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1863]=0.103052455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1864]=0.111024545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1865]=0.117901909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1866]=0.121628182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1867]=0.130313182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1868]=0.133841727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1869]=0.142126636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1870]=0.145237364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1871]=0.154402636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1872]=0.170828727
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1873]=0.181477909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1874]=0.169908273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1875]=0.184308818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1876]=0.186969
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1877]=0.190663364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1878]=0.192103364
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1879]=0.205872818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1880]=0.232828636
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1881]=0.240655909
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1882]=0.254160545
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1883]=0.270281455
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1884]=0.273320182
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1885]=0.275364818
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1886]=0.279675
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1887]=0.293661273
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1888]=0.325165091
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting global.ffi_emissions[1889]=0.325036364
