; RCP 26 emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,Gg/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
Date,ffi_emissions,luc_emissions,CH4_emissions,N2O_emissions,SOx,SO2_emissions,CO_emissions,NMVOC_emissions,NOX_emissions,BC_emissions,OC_emissions,NH3,CF4_emissions,C2F6_emissions,C6F14,HFC23_emissions,HFC32_emissions,HFC4310_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC245fa_emissions,SF6_emissions,CFC11_emissions,CFC12_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CCl4_emissions,CH3CCl3_emissions,HCFC22_emissions,HCFC141b_emissions,HCFC142b_emissions,halon1211_emissions,HALON1202,halon1301_emissions,halon2402_emissions,CH3Br_emissions,CH3Cl_emissions
1799,0.007207636,0.137728763,26.70648817,0.13698731,1.332732765,1332.732765,363.4860469,61.4962302,3.882903388,2.207292165,16.03734279,6.320145876,0.010071964,0,0,0,0.000168,0,0,0,0,0.00000261,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99068,4270.6431
1800,0.007661455,0.140262576,27.05634308,0.13957531,1.351401885,1351.401885,365.8466368,62.00320914,3.867691465,2.215974055,16.2421417,6.374649089,0.010071225,0,0,0,0.000172,0,0,0,0,0.00000264,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.95838,4268.9449
1801,0.007625455,0.142843003,27.12488718,0.142212204,1.346312669,1346.312669,364.9170684,61.66564779,3.921843763,2.21940169,16.06373322,6.342153982,0.010071225,0,0,0,0.000176,0,0,0,0,0.00000268,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.01099,4271.7107
1802,0.010031727,0.145470903,27.33978432,0.144898914,1.365792459,1365.792459,362.9627075,61.32615659,3.814905719,2.202692661,16.07582361,6.393103364,0.010071225,0,0,0,0.00018,0,0,0,0,0.00000272,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99468,4270.8532
1803,0.008587636,0.148147149,27.32049985,0.147636382,1.340023262,1340.023262,358.65078,60.40434182,3.773697199,2.180015828,15.83103088,6.358358388,0.010071225,0,0,0,0.000184,0,0,0,0,0.00000275,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0108,4271.7009
1804,0.009357273,0.150872629,27.46474997,0.150425568,1.347990682,1347.990682,359.528696,60.36470275,3.871473305,2.197298087,15.67624811,6.330542013,0.010071225,0,0,0,0.000188,0,0,0,0,0.00000279,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0121,4271.7691
1805,0.009114273,0.153648251,27.9507982,0.153267447,1.367021932,1367.021932,364.3037043,61.31991146,3.843518327,2.215042398,16.0941548,6.452486525,0.010071225,0,0,0,0.000192,0,0,0,0,0.00000282,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.98963,4270.588
1806,0.009558,0.156474937,28.13437245,0.156163016,1.370297233,1370.297233,364.3432293,61.22344968,3.877012285,2.222822585,15.95144317,6.459387079,0.010071225,0,0,0,0.000196,0,0,0,0,0.00000286,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.98239,4270.2074
1807,0.010056545,0.159353625,28.45865603,0.159113289,1.389725529,1389.725529,367.2349328,61.70646914,3.906741383,2.239871982,16.11756408,6.511010741,0.010071225,0,0,0,0.0002,0,0,0,0,0.0000029,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99423,4270.8298
1808,0.009562909,0.162285272,29.18524117,0.162119299,1.425575123,1425.575123,380.035272,64.08195973,4.070358273,2.311936484,16.7315469,6.666720494,0.010071225,0,0,0,0.000204,0,0,0,0,0.00000293,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.95199,4268.6094
1809,0.00957,0.165270854,29.12865813,0.1651821,1.403131587,1403.131587,372.8486855,62.71002213,3.940068496,2.26744264,16.44016599,6.639925747,0.010071225,0,0,0,0.000208,0,0,0,0,0.00000297,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.979,4270.0292
