year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
2075,28685.20373,2702.197822,32855.00864,12787.58229,2702.352999,2206.318764,3469.313562,7412.385249,3489.828071,8368.497995,17403.25095,12119.60822,18554.50862,3063.222186,13808.94703,739.8162572
2076,28919.4795,2740.032381,33262.78456,12841.21335,2740.926174,2225.951436,3505.100417,7537.196659,3559.705214,8484.741257,17796.89286,12319.08517,18589.11686,3122.809528,14364.07368,751.7501368
2077,29155.66863,2778.396676,33675.62154,12895.06934,2780.04994,2245.758807,3541.256423,7664.109671,3630.981513,8602.599204,18199.43851,12521.84531,18623.78964,3183.555993,14941.5167,763.8765202
2078,29393.78675,2817.298126,34093.5824,12949.1512,2819.732155,2265.742432,3577.785387,7793.159674,3703.684984,8722.094267,18611.08929,12727.94269,18658.5271,3245.484128,15542.17322,776.1985126
2079,29633.84961,2856.74425,34516.73073,13003.45988,2859.980791,2285.903878,3614.691157,7924.382649,3777.844204,8843.249185,19032.05114,12937.43223,18693.32934,3308.616921,16166.97643,788.7192696
2080,29875.87309,2896.742675,34945.13091,13057.99632,2900.803933,2306.244729,3651.97762,8057.815186,3853.48832,8966.087015,19462.53467,13150.36976,18728.19651,3372.977805,16816.89705,801.4419972
2081,30099.15222,2934.461255,35357.66988,13110.76036,2938.686941,2325.107944,3687.056315,8187.165885,3927.12203,9082.782969,19865.77514,13349.41209,18743.84914,3433.499002,17454.08557,813.9108595
2082,30324.10004,2972.670971,35775.079,13163.73761,2977.064681,2344.125445,3722.471955,8318.593028,4002.162757,9200.997752,20277.37027,13551.4671,18759.51486,3495.106129,18115.41702,826.5737127
2083,30550.72901,3011.378216,36197.41579,13216.92893,3015.943615,2363.298494,3758.227776,8452.129949,4078.637387,9320.751131,20697.49316,13756.58039,18775.19367,3557.818669,18801.80617,839.433575
2084,30779.05172,3050.58947,36624.73839,13270.33517,3055.330287,2382.628362,3794.327045,8587.810514,4156.57332,9442.063131,21126.32049,13964.79825,18790.88558,3621.656458,19514.20245,852.4935115
2085,31009.0808,3090.311294,37057.10569,13323.95722,3095.23133,2402.116334,3830.773063,8725.669135,4235.998477,9564.954038,21564.03262,14176.16767,18806.59061,3686.639686,20253.59127,865.7566349
2086,31223.38599,3128.126211,37474.77768,13376.25726,3132.768964,2420.820016,3866.528129,8860.487587,4313.504761,9682.522698,21976.30364,14374.61021,18812.23823,3748.239388,20974.9955,878.7761139
2087,31439.17224,3166.403853,37897.15727,13428.76259,3170.761839,2439.669332,3902.616919,8997.38909,4392.429181,9801.536466,22396.45665,14575.83061,18817.88755,3810.868354,21722.09513,891.9913833
2088,31656.44981,3205.149885,38324.29752,13481.47401,3209.215475,2458.665415,3939.04255,9136.40583,4472.797685,9922.013104,22824.64234,14779.86775,18823.53856,3874.543781,22495.80539,905.4053875
2089,31875.22899,3244.370036,38756.25208,13534.39235,3248.13546,2477.809407,3975.808164,9277.570487,4554.636696,10043.97059,23261.01428,14986.76108,18829.19128,3939.283155,23297.07411,919.021115
2090,32095.52016,3284.070108,39193.07521,13587.5184,3287.527451,2497.102461,4012.916936,9420.916249,4637.973119,10167.42714,23705.72897,15196.55056,18834.84568,4005.104253,24126.88289,932.8415994
2091,32302.85993,3322.341918,39617.21994,13638.70676,3325.123402,2516.300213,4049.239771,9560.69813,4719.385077,10286.33756,24125.54833,15394.0118,18835.00105,4067.627483,24931.85249,946.3823136
2092,32511.53913,3361.059738,40045.95474,13690.08795,3363.149299,2535.645558,4085.891382,9702.554011,4802.226088,10406.63868,24552.80253,15594.0388,18835.15642,4131.126757,25763.6791,960.1195788
2093,32721.56642,3400.228768,40479.32927,13741.66272,3401.610057,2555.13963,4122.874744,9846.514664,4886.521235,10528.34674,24987.62324,15796.66493,18835.31179,4195.617311,26623.25878,974.056248
2094,32932.95051,3439.854264,40917.39375,13793.43179,3440.51065,2574.783572,4160.19286,9992.611318,4972.296045,10651.4782,25430.14445,16001.92394,18835.46716,4261.11462,27511.51749,988.1952157
2095,33145.70015,3479.941547,41360.19894,13845.39588,3479.856108,2594.578538,4197.848761,10140.87567,5059.576489,10776.04972,25880.50255,16209.85005,18835.62253,4327.634399,28429.41207,1002.539418
