year,,,,,,,,,,,,,,,,
,USA,CAN,WEU  ,JPK,ANZ,CEE,FSU,MDE,CAM,SAM,SAS,SEA,CHI,NAF,SSA,SIS
2062,418.327259,51.26367186,466.0258495,146.6597133,45.44678188,100.1199565,288.3867562,523.726981,215.5861089,490.1211119,2486.477017,786.3126163,1182.815416,262.3425621,2107.77876,47.53779978
2063,420.0671858,51.51216595,466.2159119,145.6197505,45.70391362,99.64765353,287.8088211,525.5579467,215.6980135,489.4789681,2489.584697,784.9938057,1171.915706,262.6040916,2125.535719,47.36781016
2064,421.8143494,51.76186458,466.4060518,144.587162,45.96250019,99.17757862,287.2320442,527.3953135,215.8099763,488.8376656,2492.696261,783.677207,1161.116437,262.8658818,2143.442271,47.1984284
2065,423.5687799,52.0127736,466.5962693,143.5618957,46.22254979,98.70972123,286.6564232,529.2391037,215.9219972,488.1972034,2495.811714,782.3628166,1150.416684,263.1279329,2161.499676,47.02965233
2066,425.1109378,52.22467283,466.6463139,142.4710193,46.43597956,98.1684704,285.9892738,530.5530606,215.957756,487.2089069,2496.488991,780.4716031,1139.299136,263.1515763,2177.324006,46.84600984
2067,426.6587105,52.43743533,466.6963638,141.3884321,46.65039482,97.63018738,285.3236772,531.8702797,215.9935208,486.2226111,2497.166451,778.5849613,1128.289028,263.1752218,2193.264186,46.66308444
2068,428.2121185,52.65106463,466.7464191,140.3140711,46.86580013,97.09485591,284.6596296,533.190769,216.0292915,485.238312,2497.844095,776.7028802,1117.38532,263.1988694,2209.321064,46.48087334
2069,429.7711822,52.86556425,466.7964797,139.2478738,47.08220006,96.56245979,283.9971275,534.5145368,216.0650682,484.2560054,2498.521923,774.8253485,1106.586985,263.2225192,2225.495494,46.29937373
2070,431.3359222,53.08093773,466.8465458,138.1897782,47.2995992,96.03298294,283.3361672,535.8415912,216.1008507,483.2756874,2499.199935,772.9523555,1095.893005,263.2461711,2241.788337,46.11858285
2071,432.6395683,53.25783768,466.7880482,137.0996533,47.47293539,95.46125409,282.5736389,536.6473574,216.047267,481.9681509,2497.611655,770.5525983,1084.841749,263.0640324,2255.79684,45.92702762
2072,433.9471545,53.43532717,466.7295579,136.0181281,47.64690679,94.89292899,281.8131627,537.4543352,215.9936965,480.664152,2496.024384,768.1602916,1073.901937,262.8820197,2269.89288,45.73626802
2073,435.2586927,53.61340817,466.6710749,134.9451345,47.82151574,94.32798741,281.0547332,538.2625265,215.9401393,479.3636811,2494.438122,765.7754121,1063.072445,262.700133,2284.077003,45.54630075
2074,436.5741948,53.79208265,466.6125993,133.8806054,47.99676456,93.76640918,280.2983448,539.0719331,215.8865954,478.0667288,2492.852869,763.3979369,1052.35216,262.5183721,2298.34976,45.35712252
2075,437.8936728,53.97135259,466.554131,132.8244739,48.17265561,93.20817428,279.543992,539.8825569,215.8330647,476.7732855,2491.268622,761.027843,1041.739981,262.336737,2312.711704,45.16873004
2076,438.9244001,54.10651927,466.3680412,131.7596921,48.30227128,92.64062533,278.6801136,540.2298003,215.6854051,475.2014509,2487.458626,758.2299529,1030.752852,262.011734,2324.838632,44.9705561
2077,439.9575535,54.24202446,466.1820256,130.7034461,48.43223571,92.07653221,277.8189049,540.5772671,215.5378465,473.6347985,2483.654456,755.4423491,1019.881604,261.6871336,2337.029148,44.77325163
2078,440.9931389,54.37786901,465.9960842,129.6556674,48.56254982,91.51587388,276.9603576,540.9249574,215.3903889,472.073311,2479.856104,752.6649939,1009.125014,261.3629353,2349.283587,44.57681282
2079,442.0311618,54.51405377,465.810217,128.6162882,48.69321456,90.95862943,276.1044635,541.2728713,215.2430322,470.5169714,2476.063562,749.8978495,998.4818729,261.0391387,2361.602283,44.38123586
2080,443.0716281,54.6505796,465.624424,127.5852411,48.82423088,90.40477806,275.2512143,541.6210089,215.0957762,468.9657628,2472.276819,747.1408783,987.9509837,260.7157432,2373.985573,44.18651699
2081,443.8393268,54.73781335,465.2901319,126.5181138,48.90699422,89.86189701,274.3150495,541.5847246,214.8468699,467.1914347,2466.457028,744.0481857,977.2059011,260.2793812,2384.168006,43.98213946
2082,444.6083557,54.82518635,464.9560797,125.4599121,48.98989786,89.32227596,273.3820688,541.5484428,214.5982516,465.4238198,2460.650937,740.9682949,966.5776834,259.8437496,2394.394114,43.77870724
2083,445.378717,54.91269882,464.6222675,124.4105611,49.07294203,88.78589534,272.4522612,541.5121634,214.349921,463.6628926,2454.858514,737.9011528,956.0650597,259.4088471,2404.664084,43.57621597
2084,446.1504132,55.00035097,464.2886948,123.369987,49.15612698,88.25273568,271.525616,541.4758864,214.1018778,461.9086278,2449.079727,734.8467068,945.6667725,258.9746725,2414.978103,43.37466128
2085,446.9234464,55.08814304,463.9553617,122.3381163,49.23945293,87.72277766,270.6021225,541.4396119,213.8541216,460.1610003,2443.314542,731.8049043,935.3815785,258.5412245,2425.336361,43.17403886
2086,447.4659874,55.1260145,463.4094472,121.2962052,49.26968538,87.21048656,269.6352295,541.1119016,213.522133,458.2591834,2435.886712,728.4970744,925.220333,258.0304486,2433.534455,42.96784732
2087,448.0091871,55.16391201,462.8641751,120.2631677,49.29993639,86.70118718,268.6717914,540.7843896,213.1906598,456.3652266,2428.481463,725.2041962,915.1694712,257.5206818,2441.760261,42.76264052
2088,448.5530461,55.20183556,462.3195446,119.2389283,49.33020598,86.19486205,267.7117958,540.4570758,212.8597011,454.4790973,2421.098726,721.9262021,905.2277941,257.0119221,2450.013871,42.55841375
2089,449.0975654,55.23978519,461.775555,118.2234119,49.36049415,85.69149381,266.7552303,540.1299601,212.5292562,452.6007633,2413.738433,718.6630249,895.3941154,256.5041675,2458.295381,42.35516233
2090,449.6427457,55.2777609,461.2322054,117.2165443,49.39080092,85.19106518,265.8020827,539.8030424,212.1993243,450.7301924,2406.400516,715.4145976,885.6672621,255.9974161,2466.604883,42.1528816
2091,449.9832038,55.25465564,460.4704296,116.2107053,49.36483516,84.70311274,264.8151419,539.2525044,211.8193522,448.7527394,2397.611588,711.9750083,876.3058054,255.4013402,2473.021003,41.95184447
2092,450.3239197,55.23156003,459.7099119,115.2134973,49.33888305,84.21795518,263.8318656,538.7025278,211.4400604,446.783962,2388.854759,708.551956,867.0432988,254.8066523,2479.453812,41.75176613
2093,450.6648936,55.20847407,458.9506503,114.2248465,49.31294458,83.73557647,262.8522403,538.1531121,211.0614479,444.823822,2380.129914,705.1453611,857.8786964,254.2133491,2485.903355,41.55264201
2094,451.0061256,55.18539777,458.1926427,113.2446793,49.28701975,83.2559607,261.8762525,537.6042568,210.6835132,442.8722816,2371.436934,701.7551445,848.8109634,253.6214274,2492.369674,41.35446756
2095,451.347616,55.16233111,457.435887,112.2729229,49.26110855,82.77909204,260.9038885,537.0559613,210.3062554,440.929303,2362.775704,698.3812275,839.8390758,253.0308839,2498.852813,41.15723826
2096,451.469363,55.0801961,456.4022223,111.288318,49.18520116,82.30301817,259.869662,536.2712884,209.8964469,438.9044734,2353.191567,694.8492914,831.2806069,252.3721079,2503.587864,40.96285659
2097,451.5911429,54.99818338,455.3708934,110.3123479,49.10941073,81.82968226,258.8395352,535.487762,209.487437,436.8889422,2343.646306,691.3352174,822.809354,251.715047,2508.331887,40.76939297
2098,451.7129556,54.91629278,454.341895,109.3449368,49.0337371,81.35906858,257.8134918,534.7053804,209.079224,434.8826667,2334.139764,687.8389152,814.4244283,251.0596968,2513.0849,40.57684306
2099,451.8348012,54.83452411,453.3152218,108.3860096,48.95818007,80.89116146,256.7915156,533.9241419,208.6718066,432.8856044,2324.671783,684.3602949,806.1249501,250.4060529,2517.846919,40.38520255
2100,451.9566796,54.75287719,452.2908686,107.4354919,48.88273947,80.42594533,255.7735906,533.1440449,208.265183,430.897713,2315.242207,680.8992671,797.9100485,249.7541107,2522.617962,40.19446713
2101,452.0724985,54.67543967,451.331923,106.5412295,48.81120939,79.98766834,254.8115223,532.4289686,207.8804817,429.0234809,2306.377772,677.6472102,790.1948016,249.1373684,2527.240554,40.01583446
2102,452.188347,54.59811168,450.3750106,105.6544107,48.73978399,79.55177971,253.8530727,531.7148515,207.496491,427.157401,2297.547276,674.4106856,782.5541559,248.5221491,2531.871617,39.83799566
2103,452.3042252,54.52089304,449.420127,104.7749735,48.6684631,79.11826643,252.8982282,531.0016922,207.1132096,425.2994378,2288.75059,671.1896189,774.9873899,247.908449,2536.511167,39.66094721
2104,452.4201332,54.44378362,448.467268,103.9028564,48.59724658,78.68711556,251.9469752,530.2894894,206.7306361,423.4495559,2279.987584,667.9839365,767.4937895,247.2962644,2541.159218,39.48468561
2105,452.5360708,54.36678326,447.5164292,103.0379987,48.52613426,78.25831423,250.9993003,529.5782418,206.3487694,421.6077204,2271.258129,664.7935648,760.0726471,246.6855915,2545.815786,39.30920735
2106,452.6459376,54.29394959,446.6281968,102.2262133,48.4588889,77.85530043,250.1058889,528.9278857,205.9884193,419.8753728,2263.071492,661.8026237,753.1184832,246.1093717,2550.309314,39.14517821
2107,452.755831,54.22121349,445.7417274,101.4208237,48.39173672,77.45436207,249.2156576,528.2783282,205.6286984,418.1501434,2254.914363,658.825139,746.2279453,245.5344979,2554.810774,38.98183353
2108,452.8657511,54.14857484,444.8570174,100.6217793,48.3246776,77.05548846,248.3285949,527.6295685,205.2696058,416.4320027,2246.786637,655.8610502,739.4004513,244.9609669,2559.320178,38.81917046
2109,452.9756979,54.0760335,443.9740634,99.82903014,48.25771141,76.65866896,247.4446897,526.9816054,204.9111402,414.7209218,2238.688206,652.9102969,732.6354244,244.3887755,2563.837542,38.65718615
2110,453.0856714,54.00358934,443.0928619,99.04252669,48.19083801,76.263893,246.5639306,526.3344381,204.5533007,413.0168715,2230.618966,649.9728193,725.932293,243.8179208,2568.36288,38.49587776
2111,453.1895633,53.93527171,442.2716821,98.30623382,48.12779062,75.89385532,245.7359639,525.7442575,204.2165993,411.4184844,2223.071868,647.2260722,719.6670147,243.2808251,2572.711053,38.34543396
2112,453.293479,53.86704051,441.4520241,97.57541463,48.06482571,75.52561308,244.9107775,525.1547388,203.8804521,409.8262832,2215.550306,644.4909327,713.4558099,242.7449125,2577.066588,38.1955781
2113,453.3974185,53.79889562,440.6338853,96.85002843,48.00194317,75.15915758,244.088362,524.565881,203.5448582,408.2402438,2208.054191,641.7673517,707.298212,242.2101805,2581.429496,38.04630788
2114,453.5013818,53.73083694,439.8172626,96.13003483,47.93914291,74.79448016,243.2687083,523.9776835,203.2098168,406.6603424,2200.583439,639.0552804,701.1937582,241.6766264,2585.799791,37.89762102
2115,453.605369,53.66286436,439.0021534,95.41539374,47.8764248,74.43157217,242.451807,523.3901456,202.8753268,405.0865553,2193.137964,636.3546701,695.1419899,241.1442477,2590.177484,37.74951524
2116,453.7032644,53.59898063,438.2446849,94.74839027,47.81749431,74.09244719,241.6863414,522.8559094,202.5616225,403.6149283,2186.19551,633.8368636,689.5021066,240.6449841,2594.364392,37.61175118
