model,scenario,region,variable,unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,38.02182491,NA,43.66616291,NA,44.50557331,NA,46.64190237,NA,50.10463423,NA,53.70284021,NA,56.66864494,NA,59.24815357
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,26.91916683,NA,33.09420774,NA,42.69592739,NA,54.18924466,NA,69.18925636,NA,90.09307364,NA,114.4456657,NA,144.6471214
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,99.36852765,NA,97.98244265,NA,96.61398946,NA,94.60879055,NA,93.68364658,NA,91.27611375,NA,88.31096853,NA,85.2787047
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,61.17643228,NA,59.81374124,NA,59.48520116,NA,60.69645961,NA,63.07488241,NA,66.12620189,NA,69.71662507,NA,73.5612192
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,46.87070046,NA,59.97374427,NA,68.34729431,NA,81.52207878,NA,97.62781367,NA,114.9881853,NA,133.2409935,NA,151.267046
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,35.57421231,NA,40.19586989,NA,43.21771811,NA,46.48386796,NA,51.85267443,NA,55.09547279,NA,59.34520486,NA,64.52528663
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.27228256,NA,47.07281738,NA,53.32290188,NA,59.25841153,NA,66.69669618,NA,74.64711306,NA,80.23271106,NA,87.06762134
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,79.77398473,NA,74.19977529,NA,71.62015935,NA,73.37964766,NA,74.96805308,NA,77.62126816,NA,79.63183202,NA,81.65508763
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.46536702,NA,17.44436242,NA,16.58263627,NA,16.59911684,NA,16.72575783,NA,16.69240978,NA,16.4590783,NA,16.28485413
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.51237906,NA,27.61733425,NA,26.79644626,NA,27.00061129,NA,27.30666686,NA,27.5735646,NA,28.25082442,NA,29.07047065
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,37.23890795,NA,38.97567811,NA,41.76616857,NA,44.80601604,NA,48.64127828,NA,52.37384911,NA,55.68479662,NA,58.3876316
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,27.68732656,NA,34.3331629,NA,44.26814146,NA,56.86844676,NA,71.02085381,NA,91.05817393,NA,114.6015436,NA,144.3112727
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,102.5046185,NA,102.5089455,NA,103.1215757,NA,100.023557,NA,97.826816,NA,94.21255354,NA,90.60476837,NA,86.65183672
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,63.83191707,NA,61.85163314,NA,61.55573642,NA,63.2516593,NA,65.27430133,NA,67.66860319,NA,70.59715057,NA,73.7625109
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,48.88276486,NA,64.9670084,NA,78.50757039,NA,87.68229044,NA,100.6876664,NA,116.6165473,NA,133.4029319,NA,151.0707825
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,36.18175054,NA,40.56773249,NA,42.91207295,NA,46.41569995,NA,50.76435207,NA,54.17521065,NA,60.32845594,NA,65.19411738
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.95722164,NA,49.2723389,NA,54.11216177,NA,61.12014136,NA,68.52586248,NA,75.39923032,NA,80.26351406,NA,87.06762122
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,82.73448143,NA,86.38032402,NA,78.88609293,NA,76.2997733,NA,76.19570451,NA,78.12832147,NA,79.84331826,NA,81.26055616
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.8331078,NA,19.61756179,NA,17.87971052,NA,17.0834493,NA,17.04609859,NA,16.97152603,NA,16.83529532,NA,16.61277739
