V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
-0.4575799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4511747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.444747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4382967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4346737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4310435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.427406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4237612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.420109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4164494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4127822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4091076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4054253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4017355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3986522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3955637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3924698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3893704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3862655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3831552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3800393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.376918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.373791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3706584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3657351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3607978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3558463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3508807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3459006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3409061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3358969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.330873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3258341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.32078024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.31856438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.31634552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.31412385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.31189909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.30967153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.30744087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.30520731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.30297075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.30073119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.29848863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.29664568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.29480063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.29295358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.29110444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.28925329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.28740004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.28554469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.28368725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2818278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27996615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27810241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27623656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27436861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27249856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27062632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.26875197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.26687542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.26499678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.26311593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.26123298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25934773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25746039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25557084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25367899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25178505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2498888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.24799035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2460897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.24418686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.24228161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.24037426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.23846452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.23655257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.23463832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.23272187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.23080303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22888188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22695843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22503268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22310454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.22117409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.21924134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2173062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.21536865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2134288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.21148645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.20954181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.20759476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.20564531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.20369347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.20173912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19978237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19782322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19586158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19389743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19193088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.18996184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.18799029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.18601624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.18403969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.18206065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.180079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.17809485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1761082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.17411896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.17212721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.17013286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16813592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16613637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16413422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16212947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.16012203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15811198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15609933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15408409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15206604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15004539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.14802204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1459961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.14396735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1419359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1399017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.13786478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.13582512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
